clinic_name,practice_type,address,city,state,postal_code,phone,website,email,clinic_size,billing_prediction,npi
ADDISON BEHAVIORAL HEALTH LLC,"Clinic/Center, Mental Health (Including Community Mental Health Center)",721 W LAKE ST STE 203,ADDISON,IL,60101,(630) 306-2626,www.addisonbehavioralhealth.com,contact@addisonbehavioralhealth.com,Solo or Small,Medium,1902769060
AIGAS FOUNDATION INC,"Counselor; Counselor, Addiction (Substance Use Disorder)",211 E LAKE ST STE 1C,ADDISON,IL,60101,(773) 817-5928,www.aigasfoundation.com,contact@aigasfoundation.com,Solo or Small,Medium,1619687878
"ADAPT OF ILLINOIS, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",3490 HUMBERT RD,ALTON,IL,62002,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1780562884
"ABSOLUTE MEDICAL & DIAGNOSTIC CENTER, SC","Psychiatry & Neurology, Neurology; Chiropractor, Neurology",1655 N ARLINGTON HEIGHTS RD STE 101W,ARLINGTON HEIGHTS,IL,60004,(847) 870-8955,www.absolutemedicaldiagnosticcentersc.com,contact@absolutemedicaldiagnosticcentersc.com,Small Group,High,1205959434
ADI PEDIATRIC BEHAVIORAL HEALTH,"Psychiatry & Neurology, Psychiatry",1100 W CENTRAL #405,ARLINGTON HEIGHTS,IL,60005,(847) 577-7705,www.adipediatricbehavioralhealth.com,contact@adipediatricbehavioralhealth.com,Solo or Small,Medium,1225134976
ADVENT NEUROLOGY SC,"Psychiatry & Neurology, Neurology",657 E GOLF RD SUITE 304,ARLINGTON HEIGHTS,IL,60005,(847) 640-7377,www.adventneurologysc.com,contact@adventneurologysc.com,Solo or Small,Medium,1205913308
LAKE-COOK PSYCHOLOGIST AND COUNSELING,"Psychologist, Counseling",3285 N ARLINGTON HEIGHTS RD SUITE 201,ARLINGTON HEIGHTS,IL,60004,(847) 577-1501,www.lakecookpsychologistandcounseling.com,contact@lakecookpsychologistandcounseling.com,Solo or Small,Medium,1588745194
"ADVANCED NEUROLOGY, LTD","Psychiatry & Neurology, Neurology",3295 N ARLINGTON HEIGHTS RD STE 102,ARLINGTON HTS,IL,60004,(847) 650-9509,www.advancedneurologyltd.com,contact@advancedneurologyltd.com,Solo or Small,Medium,1902005010
"ALLEN KUO, D.O.S.C.","Psychiatry & Neurology, Psychiatry",18-2 E DUNDEE RD STE 140,BARRINGTON,IL,60010,(847) 737-5277,www.allenkuodosc.com,contact@allenkuodosc.com,Solo or Small,Medium,1912439415
KIDS SPOT THERAPY,"Social Worker, Clinical; Psychologist, Counseling",330 E. MAIN STREET #216,BARRINGTON,IL,60010,(224) 707-0156,www.kidsspottherapy.com,contact@kidsspottherapy.com,Solo or Small,Medium,1336811850
"A PLUS WELLNESS, PLLC","Clinic/Center, Mental Health (Including Community Mental Health Center)",135 TROUTMAN DR,BARTLETT,IL,60103,(630) 398-9943,www.apluswellnesspllc.com,contact@apluswellnesspllc.com,Solo or Small,Medium,1598538050
ADVANCED ORTHOPAEDIC AND NEUROLOGIC ASSOCIATES,"Orthopaedic Surgery; Psychiatry & Neurology, Neurology",1691 S RTE 59,BARTLETT,IL,60103,(630) 372-1100,www.advancedorthopaedicandneurologicassociates.com,contact@advancedorthopaedicandneurologicassociates.com,Small Group,High,1669593935
LIGHT THE WAY COUNSELING PLLC,"Psychologist, Counseling",106 W WILSON ST STE 4L,BATAVIA,IL,60510,(630) 903-1810,www.lightthewaycounselingpllc.com,contact@lightthewaycounselingpllc.com,Solo or Small,Medium,1609596618
"ADAPT OF ILLINOIS, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",2600 WEST BLVD,BELLEVILLE,IL,62221,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1548321250
"ADAPT OF ILLINOIS, INC.","Community Based Residential Treatment Facility, Mental Illness; Clinic/Center, Mental Health (Including Community Mental Health Center)",20 N 9TH ST,BELLEVILLE,IL,62220,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1720370489
"ADAPT OF ILLINOIS, INC.","Community Based Residential Treatment Facility, Mental Illness; Clinic/Center, Mental Health (Including Community Mental Health Center)",7 KIRCHER PL,BELLEVILLE,IL,62220,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1780935965
"ADAPT OF ILLINOIS, INC.","Clinic/Center, Mental Health (Including Community Mental Health Center)",2600 WEST BLVD,BELLEVILLE,IL,62221,(877) 553-9440,www.adaptofillinois.com,contact@adaptofillinois.com,Solo or Small,Medium,1164714721
"HAVE FAITH MINISTRIES, INC.","Counselor, Pastoral; Psychologist, Counseling",1720 N BELT W,BELLEVILLE,IL,62226,(800) 505-8051,www.havefaithministries.com,contact@havefaithministries.com,Solo or Small,Medium,1053615344
AFS COUNSELING SERVICES P.C.,"Counselor, Mental Health",6420 CERMAK RD,BERWYN,IL,60402,(708) 462-2736,www.afscounselingservicespc.com,contact@afscounselingservicespc.com,Solo or Small,Medium,1639811391
"ADVANCE PSYCHIATRY & COUNSELING, SC.","Psychiatry & Neurology, Psychiatry",1 TIFFANY PT STE 206,BLOOMINGDALE,IL,60108,(630) 924-1160,www.advancepsychiatrycounselingsc.com,contact@advancepsychiatrycounselingsc.com,Small Group,High,1669563789
"ALLYSON HAWKINS, PH.D. PROFESSIONAL COUNSELING SERVICES","Clinic/Center, Adult Mental Health; Psychologist, Counseling",2416 E WASHINGTON ST STE A7,BLOOMINGTON,IL,61704,(309) 532-0481,www.allysonhawkinsphdprofessionalcounselingservices.com,contact@allysonhawkinsphdprofessionalcounselingservices.com,Solo or Small,Medium,1578222774
"GAGGLE.NET, INC.","Counselor; Counselor, School",1701 E EMPIRE ST STE 258,BLOOMINGTON,IL,61704,(800) 288-7750,www.gagglenet.com,contact@gagglenet.com,Solo or Small,Medium,1598389918
"JEFF D. KAZMIERCZAK, PSY.D., P.C.","Psychologist, Adult Development & Aging; Psychologist, Clinical",19 HERITAGE DR SUITE 211,BOURBONNAIS,IL,60914,(815) 933-8760,www.jeffdkazmierczakpsydpc.com,contact@jeffdkazmierczakpsydpc.com,Solo or Small,Medium,1316203896
"ACACIA COUNSELING, PLLC","Counselor, Mental Health",4136 DEYO AVE,BROOKFIELD,IL,60513,(414) 839-6567,www.acaciacounselingpllc.com,contact@acaciacounselingpllc.com,Solo or Small,Medium,1598433716
AFFILIATED MENTAL HEALTH PROFESSIONALS,"Psychiatry & Neurology, Psychiatry",135 N ARLINGTON HEIGHTS RD STE 105,BUFFALO GROVE,IL,60089,(847) 291-8810,www.affiliatedmentalhealthprofessionals.com,contact@affiliatedmentalhealthprofessionals.com,Solo or Small,Medium,1679531792
9 & GREY PLLC,"Clinic/Center, Mental Health (Including Community Mental Health Center)",5851 W 82ND ST,BURBANK,IL,60459,(630) 438-3744,www.9greypllc.com,contact@9greypllc.com,Small Group,High,1073497426
"INSPIRE CARE CENTER, LLC","Counselor, Mental Health; Behavior Analyst",15W150 S FRONTAGE RD,BURR RIDGE,IL,60527,(630) 566-3507,www.inspirecarecenter.com,contact@inspirecarecenter.com,Small Group,High,1801594635
290 THERAPY LLC,"Clinic/Center, Mental Health (Including Community Mental Health Center)",811 GREENBAY AVE,CALUMET CITY,IL,60409,(309) 490-4853,www.290therapy.com,contact@290therapy.com,Solo or Small,Medium,1710799796
ADVANCED SLEEP INSTITUTE LLC,"Psychiatry & Neurology, Neurology; Psychiatry & Neurology, Sleep Medicine",2731 WEST MAIN SUITE C,CARBONDALE,IL,62901,(618) 519-9999,www.advancedsleepinstitute.com,contact@advancedsleepinstitute.com,Solo or Small,Medium,1184969420
ALBANY CLINIC LLC,"Psychiatry & Neurology, Psychiatry; Anesthesiology",35 ALBANY RD,CARBONDALE,IL,62903,(888) 804-4330,www.albanyclinic.com,contact@albanyclinic.com,Small Group,High,1780310391
HOPE AND HARMONY WELLNESS GROUP PLLC,"Psychologist, Counseling; Psychologist, Clinical Child & Adolescent",810 N WALL ST,CARBONDALE,IL,62901,(310) 270-5878,www.hopeandharmonywellnessgrouppllc.com,contact@hopeandharmonywellnessgrouppllc.com,Small Group,High,1922612571
JAMIE STEVENS COUNSELING SERVICES LLC,"Psychologist, Counseling",1701 S PROSPECT AVE STE 101,CHAMPAIGN,IL,61820,(217) 621-8533,www.jamiestevenscounselingservices.com,contact@jamiestevenscounselingservices.com,Solo or Small,Medium,1124725411
1 CARE INC.,"Counselor, Mental Health; Psychologist",4800 S CHICAGO BEACH DR SUITE 901N,CHICAGO,IL,60615,(773) 251-4625,www.1care.com,contact@1care.com,Solo or Small,Medium,1942649421
1863FWD CARE 2 CARE NFP,"Clinic/Center, Mental Health (Including Community Mental Health Center); Clinic/Center, Adolescent and Children Mental Health",243 W 95TH ST,CHICAGO,IL,60628,(708) 491-3303,www.1863fwdcare2carenfp.com,contact@1863fwdcare2carenfp.com,Solo or Small,Medium,1790472355
"24 HOURS TELEHEALTH, PLLC","Psychiatry & Neurology, Psychiatry",4822 S KING DR UNIT 1N,CHICAGO,IL,60615,(901) 292-1241,www.24hourstelehealthpllc.com,contact@24hourstelehealthpllc.com,Solo or Small,Medium,1548015647
312 PSYCH SERVICES PLLC,"Clinic/Center, Mental Health (Including Community Mental Health Center)",226 N CLINTON ST APT 321,CHICAGO,IL,60661,(773) 759-2036,www.312psychservicespllc.com,contact@312psychservicespllc.com,Solo or Small,Medium,1538850276
360 TALK THERAPY INC,"Registered Nurse, Psych/Mental Health, Adult; Counselor, Mental Health",400 W 76TH ST STE 303,CHICAGO,IL,60620,(888) 338-6232,www.360talktherapy.com,contact@360talktherapy.com,Solo or Small,Medium,1942916572
4GCONCEPTS,"Counselor, Mental Health; Counselor, Professional",2608 W 100TH ST,CHICAGO,IL,60655,(773) 612-4784,www.4gconcepts.com,contact@4gconcepts.com,Solo or Small,Medium,1881371979
5D PSYCHIATRY PLLC,"Psychiatry & Neurology, Psychiatry",1505 E 53RD ST STE 2E,CHICAGO,IL,60615,(312) 529-0013,www.5dpsychiatrypllc.com,contact@5dpsychiatrypllc.com,Solo or Small,Medium,1134952930
"A BEAUTIFUL MIND, INC","Clinic/Center, Adult Mental Health; Clinic/Center, Adolescent and Children Mental Health",5113 S HARPER AVE # 2C,CHICAGO,IL,60615,(773) 304-3699,www.abeautifulmind.com,contact@abeautifulmind.com,Solo or Small,Medium,1851959357
"A BEAUTIFUL MIND, INC","Counselor, Mental Health; Clinic/Center, Mental Health (Including Community Mental Health Center)",5113 S HARPER AVE STE 2C,CHICAGO,IL,60615,(312) 340-8826,www.abeautifulmind.com,contact@abeautifulmind.com,Solo or Small,Medium,1245036672
"A BEAUTIFUL MIND, INC","Clinic/Center, Mental Health (Including Community Mental Health Center); Community Based Residential Treatment Facility, Mental Illness",9046 S JUSTINE ST APT 2,CHICAGO,IL,60620,(773) 304-6999,www.abeautifulmind.com,contact@abeautifulmind.com,Solo or Small,Medium,1245830298
"A BEAUTIFUL MIND, INC","Counselor; Counselor, Addiction (Substance Use Disorder)",5113 S HARPER AVE STE 2C,CHICAGO,IL,60615,(773) 304-3699,www.abeautifulmind.com,contact@abeautifulmind.com,Solo or Small,Medium,1841947827
"A CURIOUS HEART PSYCHOTHERAPY, PLLC","Counselor, Mental Health",230 E OHIO ST STE 410-1870,CHICAGO,IL,60611,(708) 428-3800,www.acuriousheartpsychotherapypllc.com,contact@acuriousheartpsychotherapypllc.com,Solo or Small,Medium,1679355614
A LISTENING EAR THERAPEUTIC SERVICES,"Social Worker; Counselor, Mental Health",332 S MICHIGAN AVE STE 121,CHICAGO,IL,60604,(708) 359-5626,www.alisteningeartherapeuticservices.com,contact@alisteningeartherapeuticservices.com,Solo or Small,Medium,1598456881
